6,1.5172413793103448,UP
26,3.103448275862069,UP
25,3.2758620689655173,DOWN
8,4.448275862068965,DOWN
14,4.827586206896552,DOWN
58,5.310344827586207,DOWN
66,5.586206896551724,UP
28,5.896551724137931,DOWN
91,6.724137931034483,UP
79,6.896551724137931,DOWN
59,7.862068965517241,DOWN
117,8.96551724137931,UP
63,9.275862068965518,DOWN
110,9.310344827586206,UP
85,9.551724137931034,DOWN
105,10.758620689655173,DOWN
144,10.793103448275861,UP
128,11.0,UP
107,11.413793103448276,DOWN
183,11.89655172413793,UP
169,12.310344827586206,DOWN
187,12.586206896551724,DOWN
195,12.931034482758621,UP
199,13.10344827586207,UP
191,13.275862068965518,UP
206,13.793103448275861,UP
173,13.793103448275861,DOWN
215,14.10344827586207,UP
233,15.03448275862069,UP
239,15.448275862068966,DOWN
265,16.75862068965517,UP
275,17.03448275862069,UP
253,17.482758620689655,DOWN
271,17.551724137931036,UP
249,17.586206896551722,DOWN
266,18.17241379310345,DOWN
244,18.689655172413794,DOWN
303,18.96551724137931,UP
320,19.17241379310345,UP
313,19.20689655172414,UP
318,19.551724137931036,UP
223,20.103448275862068,DOWN
295,21.620689655172413,DOWN
370,22.275862068965516,UP
336,22.413793103448278,DOWN
263,22.862068965517242,DOWN
386,23.586206896551722,UP
324,24.06896551724138,DOWN
341,24.79310344827586,DOWN
406,25.344827586206897,UP
436,27.75862068965517,UP
410,28.482758620689655,DOWN
447,28.620689655172413,UP
450,28.96551724137931,UP
422,29.655172413793103,DOWN
460,29.862068965517242,UP
480,31.448275862068964,UP
423,32.275862068965516,DOWN
440,32.827586206896555,DOWN
492,33.310344827586206,UP
481,33.86206896551724,DOWN
511,34.827586206896555,DOWN
525,34.93103448275862,UP
475,35.06896551724138,DOWN
514,35.724137931034484,DOWN
523,36.89655172413793,DOWN
557,37.10344827586207,UP
567,37.89655172413793,UP
500,38.275862068965516,DOWN
519,38.62068965517241,DOWN
585,39.310344827586206,UP
596,39.827586206896555,UP
602,40.37931034482759,UP
613,41.93103448275862,UP
